Date,All countries / regions,Peers' median,25th percentile,75th percentile,Notes
1 Dec 2020,0%,0.11%,-0.08%,0.34%,
2 Dec 2020,0%,0.07%,-0.11%,0.31%,
3 Dec 2020,0%,0.18%,-0.03%,0.42%,
4 Dec 2020,0%,0.01%,-0.18%,0.23%,
5 Dec 2020,0%,-0.02%,-0.21%,0.18%,
6 Dec 2020,0%,-0.06%,-0.25%,0.14%,
7 Dec 2020,0%,0.01%,-0.19%,0.23%,
8 Dec 2020,0%,0.07%,-0.11%,0.3%,
9 Dec 2020,0%,0.02%,-0.17%,0.25%,
10 Dec 2020,0%,0.06%,-0.14%,0.28%,
11 Dec 2020,0%,0.03%,-0.16%,0.24%,
12 Dec 2020,0%,0.02%,-0.16%,0.23%,
13 Dec 2020,0%,-0.03%,-0.22%,0.18%,
14 Dec 2020,0%,0.04%,-0.15%,0.27%,
15 Dec 2020,0%,0.18%,-0.03%,0.42%,
16 Dec 2020,0%,0.06%,-0.13%,0.3%,
17 Dec 2020,0%,0.01%,-0.17%,0.24%,
18 Dec 2020,0%,0.03%,-0.16%,0.25%,
19 Dec 2020,0%,-0.02%,-0.2%,0.19%,
20 Dec 2020,0%,-0.01%,-0.2%,0.19%,
21 Dec 2020,0%,0.06%,-0.13%,0.3%,
22 Dec 2020,0%,0.06%,-0.13%,0.29%,
23 Dec 2020,0%,-0.07%,-0.25%,0.16%,
24 Dec 2020,0%,-0.08%,-0.27%,0.14%,
25 Dec 2020,0%,-0.11%,-0.31%,0.11%,
26 Dec 2020,0%,-0.07%,-0.27%,0.14%,
27 Dec 2020,0%,-,-,-,
28 Dec 2020,0%,-,-,-,
29 Dec 2020,0%,-,-,-,
30 Dec 2020,-6.25%,-,-,-,
